,index,Commodity,Date,Unit,Minimum,Maximum,Price,Day,Month,Year
0,7,Cauli Local,2013-06-16,Kg,30.0,35.0,32.5,16,6,2013
1,81,Cauli Local,2013-06-17,Kg,25.0,30.0,27.5,17,6,2013
2,154,Cauli Local,2013-06-18,Kg,25.0,30.0,27.5,18,6,2013
3,227,Cauli Local,2013-06-19,Kg,25.0,30.0,27.5,19,6,2013
4,300,Cauli Local,2013-06-20,Kg,20.0,25.0,22.5,20,6,2013
5,374,Cauli Local,2013-06-21,Kg,20.0,24.0,22.0,21,6,2013
6,448,Cauli Local,2013-06-25,Kg,20.0,25.0,22.5,25,6,2013
7,521,Cauli Local,2013-06-26,Kg,18.0,22.0,20.0,26,6,2013
8,594,Cauli Local,2013-06-27,Kg,25.0,30.0,27.5,27,6,2013
9,666,Cauli Local,2013-06-28,Kg,25.0,30.0,27.5,28,6,2013
10,736,Cauli Local,2013-06-30,Kg,30.0,40.0,35.0,30,6,2013
11,806,Cauli Local,2013-07-01,Kg,30.0,35.0,32.5,1,7,2013
12,876,Cauli Local,2013-07-02,Kg,25.0,30.0,27.5,2,7,2013
13,945,Cauli Local,2013-07-03,Kg,40.0,45.0,42.5,3,7,2013
14,1015,Cauli Local,2013-07-04,Kg,40.0,45.0,42.5,4,7,2013
15,1085,Cauli Local,2013-07-05,Kg,40.0,45.0,42.5,5,7,2013
16,1154,Cauli Local,2013-07-09,Kg,40.0,45.0,42.5,9,7,2013
17,1224,Cauli Local,2013-07-10,Kg,40.0,45.0,42.5,10,7,2013
18,1294,Cauli Local,2013-07-11,Kg,60.0,70.0,65.0,11,7,2013
19,1363,Cauli Local,2013-07-12,Kg,40.0,50.0,45.0,12,7,2013
20,1433,Cauli Local,2013-07-14,Kg,55.0,60.0,57.5,14,7,2013
21,1503,Cauli Local,2013-07-15,Kg,55.0,65.0,60.0,15,7,2013
22,1571,Cauli Local,2013-07-16,Kg,60.0,70.0,65.0,16,7,2013
23,1640,Cauli Local,2013-07-17,Kg,50.0,60.0,55.0,17,7,2013
24,1711,Cauli Local,2013-07-18,Kg,40.0,50.0,45.0,18,7,2013
25,1782,Cauli Local,2013-07-19,Kg,50.0,60.0,55.0,19,7,2013
26,1852,Cauli Local,2013-07-21,Kg,50.0,60.0,55.0,21,7,2013
27,1923,Cauli Local,2013-07-22,Kg,55.0,60.0,57.5,22,7,2013
28,1994,Cauli Local,2013-07-23,Kg,55.0,60.0,57.5,23,7,2013
29,2063,Cauli Local,2013-07-24,Kg,55.0,60.0,57.5,24,7,2013
30,2132,Cauli Local,2013-07-25,Kg,55.0,60.0,57.5,25,7,2013
31,2202,Cauli Local,2013-07-26,Kg,55.0,60.0,57.5,26,7,2013
32,2270,Cauli Local,2013-07-28,Kg,55.0,60.0,57.5,28,7,2013
33,2340,Cauli Local,2013-07-29,Kg,50.0,60.0,55.0,29,7,2013
34,2408,Cauli Local,2013-07-30,Kg,50.0,55.0,52.5,30,7,2013
35,2475,Cauli Local,2013-07-31,Kg,45.0,50.0,47.5,31,7,2013
36,2541,Cauli Local,2013-08-01,Kg,55.0,60.0,57.5,1,8,2013
37,2608,Cauli Local,2013-08-02,Kg,55.0,65.0,60.0,2,8,2013
38,2676,Cauli Local,2013-08-04,Kg,65.0,70.0,67.5,4,8,2013
39,2743,Cauli Local,2013-08-05,Kg,55.0,62.0,58.5,5,8,2013
40,2809,Cauli Local,2013-08-06,Kg,60.0,65.0,62.5,6,8,2013
41,2874,Cauli Local,2013-08-07,Kg,60.0,65.0,62.5,7,8,2013
42,2940,Cauli Local,2013-08-08,Kg,60.0,65.0,62.5,8,8,2013
43,3008,Cauli Local,2013-08-12,Kg,60.0,65.0,62.5,12,8,2013
44,3048,Cauli Local,2013-08-13,Kg,55.0,60.0,57.5,13,8,2013
45,3116,Cauli Local,2013-08-14,Kg,55.0,60.0,57.5,14,8,2013
46,3186,Cauli Local,2013-08-15,Kg,55.0,60.0,57.5,15,8,2013
47,3254,Cauli Local,2013-08-16,Kg,55.0,60.0,57.5,16,8,2013
48,3325,Cauli Local,2013-08-18,Kg,50.0,60.0,55.0,18,8,2013
49,3396,Cauli Local,2013-08-19,Kg,55.0,60.0,57.5,19,8,2013
50,3466,Cauli Local,2013-08-20,Kg,55.0,60.0,57.5,20,8,2013
51,3537,Cauli Local,2013-08-23,Kg,50.0,55.0,52.5,23,8,2013
52,3608,Cauli Local,2013-08-25,Kg,45.0,50.0,47.5,25,8,2013
53,3679,Cauli Local,2013-08-26,Kg,40.0,50.0,45.0,26,8,2013
54,3750,Cauli Local,2013-08-27,Kg,50.0,55.0,52.5,27,8,2013
55,3820,Cauli Local,2013-08-29,Kg,50.0,55.0,52.5,29,8,2013
56,3889,Cauli Local,2013-08-30,Kg,50.0,55.0,52.5,30,8,2013
57,3960,Cauli Local,2013-09-01,Kg,50.0,55.0,52.5,1,9,2013
58,4028,Cauli Local,2013-09-02,Kg,45.0,50.0,47.5,2,9,2013
59,4097,Cauli Local,2013-09-03,Kg,60.0,70.0,65.0,3,9,2013
60,4164,Cauli Local,2013-09-04,Kg,55.0,65.0,60.0,4,9,2013
61,4234,Cauli Local,2013-09-05,Kg,40.0,45.0,42.5,5,9,2013
62,4304,Cauli Local,2013-09-06,Kg,50.0,60.0,55.0,6,9,2013
63,4374,Cauli Local,2013-09-08,Kg,40.0,45.0,42.5,8,9,2013
64,4445,Cauli Local,2013-09-09,Kg,40.0,45.0,42.5,9,9,2013
65,4516,Cauli Local,2013-09-10,Kg,45.0,50.0,47.5,10,9,2013
66,4587,Cauli Local,2013-09-11,Kg,40.0,45.0,42.5,11,9,2013
67,4658,Cauli Local,2013-09-12,Kg,40.0,45.0,42.5,12,9,2013
