,index,Commodity,Date,Unit,Minimum,Maximum,Price,Day,Month,Year
0,4,Onion Dry (Indian),2013-06-16,Kg,28.0,30.0,29.0,16,6,2013
1,78,Onion Dry (Indian),2013-06-17,Kg,29.0,30.0,29.5,17,6,2013
2,151,Onion Dry (Indian),2013-06-18,Kg,33.0,35.0,34.0,18,6,2013
3,224,Onion Dry (Indian),2013-06-19,Kg,34.0,35.0,34.5,19,6,2013
4,297,Onion Dry (Indian),2013-06-20,Kg,35.0,36.0,35.5,20,6,2013
5,371,Onion Dry (Indian),2013-06-21,Kg,34.0,35.0,34.5,21,6,2013
6,445,Onion Dry (Indian),2013-06-25,Kg,33.0,35.0,34.0,25,6,2013
7,518,Onion Dry (Indian),2013-06-26,Kg,33.0,35.0,34.0,26,6,2013
8,591,Onion Dry (Indian),2013-06-27,Kg,35.0,37.0,36.0,27,6,2013
9,663,Onion Dry (Indian),2013-06-28,Kg,36.0,38.0,37.0,28,6,2013
10,733,Onion Dry (Indian),2013-06-30,Kg,36.0,38.0,37.0,30,6,2013
11,803,Onion Dry (Indian),2013-07-01,Kg,37.0,38.0,37.5,1,7,2013
12,873,Onion Dry (Indian),2013-07-02,Kg,38.0,40.0,39.0,2,7,2013
13,942,Onion Dry (Indian),2013-07-03,Kg,40.0,42.0,41.0,3,7,2013
14,1012,Onion Dry (Indian),2013-07-04,Kg,40.0,42.0,41.0,4,7,2013
15,1082,Onion Dry (Indian),2013-07-05,Kg,40.0,42.0,41.0,5,7,2013
16,1151,Onion Dry (Indian),2013-07-09,Kg,44.0,46.0,45.0,9,7,2013
17,1221,Onion Dry (Indian),2013-07-10,Kg,45.0,47.0,46.0,10,7,2013
18,1291,Onion Dry (Indian),2013-07-11,Kg,44.0,46.0,45.0,11,7,2013
19,1360,Onion Dry (Indian),2013-07-12,Kg,44.0,46.0,45.0,12,7,2013
20,1430,Onion Dry (Indian),2013-07-14,Kg,44.0,46.0,45.0,14,7,2013
