,index,Commodity,Date,Unit,Minimum,Maximum,Price,Day,Month,Year
0,3,Potato White,2013-06-16,Kg,15.0,16.0,15.5,16,6,2013
1,77,Potato White,2013-06-17,Kg,15.0,16.0,15.5,17,6,2013
2,150,Potato White,2013-06-18,Kg,15.0,16.0,15.5,18,6,2013
3,223,Potato White,2013-06-19,Kg,15.0,16.0,15.5,19,6,2013
4,296,Potato White,2013-06-20,Kg,15.0,16.0,15.5,20,6,2013
5,370,Potato White,2013-06-21,Kg,16.0,17.0,16.5,21,6,2013
6,444,Potato White,2013-06-25,Kg,17.0,18.0,17.5,25,6,2013
7,517,Potato White,2013-06-26,Kg,17.0,18.0,17.5,26,6,2013
8,590,Potato White,2013-06-27,Kg,19.0,20.0,19.5,27,6,2013
9,662,Potato White,2013-06-28,Kg,19.0,20.0,19.5,28,6,2013
10,732,Potato White,2013-06-30,Kg,19.0,20.0,19.5,30,6,2013
11,802,Potato White,2013-07-01,Kg,19.0,20.0,19.5,1,7,2013
12,872,Potato White,2013-07-02,Kg,18.0,20.0,19.0,2,7,2013
13,941,Potato White,2013-07-03,Kg,18.0,19.0,18.5,3,7,2013
14,1011,Potato White,2013-07-04,Kg,18.0,19.0,18.5,4,7,2013
15,1081,Potato White,2013-07-05,Kg,18.0,19.0,18.5,5,7,2013
16,1150,Potato White,2013-07-09,Kg,18.0,20.0,19.0,9,7,2013
17,1220,Potato White,2013-07-10,Kg,18.0,20.0,19.0,10,7,2013
18,1290,Potato White,2013-07-11,Kg,18.0,20.0,19.0,11,7,2013
19,1359,Potato White,2013-07-12,Kg,19.0,20.0,19.5,12,7,2013
20,1429,Potato White,2013-07-14,Kg,18.0,19.0,18.5,14,7,2013
21,1499,Potato White,2013-07-15,Kg,19.0,20.0,19.5,15,7,2013
22,1567,Potato White,2013-07-16,Kg,19.0,20.0,19.5,16,7,2013
23,1636,Potato White,2013-07-17,Kg,18.0,19.0,18.5,17,7,2013
24,1707,Potato White,2013-07-18,Kg,19.0,20.0,19.5,18,7,2013
25,1778,Potato White,2013-07-19,Kg,18.0,19.0,18.5,19,7,2013
26,1848,Potato White,2013-07-21,Kg,19.0,20.0,19.5,21,7,2013
27,1919,Potato White,2013-07-22,Kg,19.0,20.0,19.5,22,7,2013
28,1990,Potato White,2013-07-23,Kg,18.0,19.0,18.5,23,7,2013
29,2059,Potato White,2013-07-24,Kg,18.0,19.0,18.5,24,7,2013
30,2128,Potato White,2013-07-25,Kg,18.0,19.0,18.5,25,7,2013
31,2198,Potato White,2013-07-26,Kg,18.0,19.0,18.5,26,7,2013
32,2266,Potato White,2013-07-28,Kg,20.0,21.0,20.5,28,7,2013
33,2336,Potato White,2013-07-29,Kg,20.0,21.0,20.5,29,7,2013
34,2404,Potato White,2013-07-30,Kg,20.0,21.0,20.5,30,7,2013
35,2471,Potato White,2013-07-31,Kg,20.0,21.0,20.5,31,7,2013
36,2537,Potato White,2013-08-01,Kg,20.0,21.0,20.5,1,8,2013
37,2604,Potato White,2013-08-02,Kg,20.0,21.0,20.5,2,8,2013
38,2672,Potato White,2013-08-04,Kg,20.0,21.0,20.5,4,8,2013
39,2739,Potato White,2013-08-05,Kg,22.0,23.0,22.5,5,8,2013
40,2805,Potato White,2013-08-06,Kg,22.0,23.0,22.5,6,8,2013
41,2870,Potato White,2013-08-07,Kg,23.0,24.0,23.5,7,8,2013
42,2936,Potato White,2013-08-08,Kg,22.0,23.0,22.5,8,8,2013
43,3004,Potato White,2013-08-12,Kg,24.0,24.0,24.0,12,8,2013
44,3044,Potato White,2013-08-13,Kg,23.0,24.0,23.5,13,8,2013
45,3112,Potato White,2013-08-14,Kg,23.0,24.0,23.5,14,8,2013
46,3182,Potato White,2013-08-15,Kg,23.0,24.0,23.5,15,8,2013
47,3250,Potato White,2013-08-16,Kg,24.0,25.0,24.5,16,8,2013
48,3321,Potato White,2013-08-18,Kg,24.0,25.0,24.5,18,8,2013
49,3392,Potato White,2013-08-19,Kg,24.0,25.0,24.5,19,8,2013
50,3462,Potato White,2013-08-20,Kg,24.0,25.0,24.5,20,8,2013
51,3533,Potato White,2013-08-23,Kg,26.0,27.0,26.5,23,8,2013
52,3604,Potato White,2013-08-25,Kg,26.0,27.0,26.5,25,8,2013
53,3675,Potato White,2013-08-26,Kg,27.0,28.0,27.5,26,8,2013
54,3746,Potato White,2013-08-27,Kg,26.0,28.0,27.0,27,8,2013
55,3816,Potato White,2013-08-29,Kg,26.0,27.0,26.5,29,8,2013
56,3885,Potato White,2013-08-30,Kg,27.0,28.0,27.5,30,8,2013
57,3956,Potato White,2013-09-01,Kg,26.0,27.0,26.5,1,9,2013
58,4024,Potato White,2013-09-02,Kg,27.0,28.0,27.5,2,9,2013
59,4093,Potato White,2013-09-03,Kg,26.0,27.0,26.5,3,9,2013
60,4160,Potato White,2013-09-04,Kg,26.0,27.0,26.5,4,9,2013
61,4230,Potato White,2013-09-05,Kg,27.0,28.0,27.5,5,9,2013
62,4300,Potato White,2013-09-06,Kg,27.0,28.0,27.5,6,9,2013
63,4370,Potato White,2013-09-08,Kg,27.0,28.0,27.5,8,9,2013
64,4441,Potato White,2013-09-09,Kg,27.0,28.0,27.5,9,9,2013
65,4512,Potato White,2013-09-10,Kg,27.0,28.0,27.5,10,9,2013
66,4583,Potato White,2013-09-11,Kg,27.0,28.0,27.5,11,9,2013
67,4654,Potato White,2013-09-12,Kg,26.0,27.0,26.5,12,9,2013
68,4724,Potato White,2013-09-13,Kg,26.0,27.0,26.5,13,9,2013
69,4793,Potato White,2013-09-15,Kg,29.0,30.0,29.5,15,9,2013
70,4862,Potato White,2013-09-16,Kg,28.0,29.0,28.5,16,9,2013
71,4932,Potato White,2013-09-17,Kg,25.0,27.0,26.0,17,9,2013
72,5002,Potato White,2013-09-19,Kg,28.0,29.0,28.5,19,9,2013
73,5072,Potato White,2013-09-20,Kg,27.0,28.0,27.5,20,9,2013
74,5141,Potato White,2013-09-22,Kg,28.0,29.0,28.5,22,9,2013
75,5212,Potato White,2013-09-23,Kg,28.0,29.0,28.5,23,9,2013
76,5283,Potato White,2013-09-24,Kg,28.0,29.0,28.5,24,9,2013
77,5355,Potato White,2013-09-25,Kg,26.0,28.0,27.0,25,9,2013
78,5426,Potato White,2013-09-26,Kg,18.0,20.0,19.0,26,9,2013
79,5497,Potato White,2013-09-27,Kg,19.0,20.0,19.5,27,9,2013
80,5569,Potato White,2013-09-29,Kg,19.0,20.0,19.5,29,9,2013
81,5642,Potato White,2013-09-30,Kg,18.0,20.0,19.0,30,9,2013
82,5713,Potato White,2013-10-01,Kg,19.0,20.0,19.5,1,10,2013
83,5785,Potato White,2013-10-02,Kg,19.0,20.0,19.5,2,10,2013
84,5859,Potato White,2013-10-03,Kg,19.0,20.0,19.5,3,10,2013
85,5932,Potato White,2013-10-04,Kg,18.0,20.0,19.0,4,10,2013
86,6006,Potato White,2013-10-06,Kg,18.0,20.0,19.0,6,10,2013
87,6078,Potato White,2013-10-07,Kg,18.0,20.0,19.0,7,10,2013
88,6153,Potato White,2013-10-08,Kg,18.0,20.0,19.0,8,10,2013
89,6228,Potato White,2013-10-09,Kg,18.0,20.0,19.0,9,10,2013
90,6303,Potato White,2013-10-10,Kg,18.0,20.0,19.0,10,10,2013
91,6378,Potato White,2013-10-11,Kg,20.0,22.0,21.0,11,10,2013
92,6453,Potato White,2013-10-12,Kg,20.0,22.0,21.0,12,10,2013
93,6523,Potato White,2013-10-13,Kg,20.0,22.0,21.0,13,10,2013
94,6562,Potato White,2013-10-14,Kg,20.0,22.0,21.0,14,10,2013
95,6598,Potato White,2013-10-15,Kg,20.0,22.0,21.0,15,10,2013
96,6634,Potato White,2013-10-16,Kg,20.0,22.0,21.0,16,10,2013
97,6699,Potato White,2013-10-17,Kg,20.0,22.0,21.0,17,10,2013
98,6767,Potato White,2013-10-20,Kg,24.0,26.0,25.0,20,10,2013
99,6840,Potato White,2013-10-21,Kg,26.0,28.0,27.0,21,10,2013
100,6912,Potato White,2013-10-22,Kg,29.0,30.0,29.5,22,10,2013
101,6983,Potato White,2013-10-23,Kg,44.0,45.0,44.5,23,10,2013
102,7052,Potato White,2013-10-24,Kg,40.0,45.0,42.5,24,10,2013
103,7122,Potato White,2013-10-25,Kg,48.0,50.0,49.0,25,10,2013
104,7194,Potato White,2013-10-27,Kg,45.0,48.0,46.5,27,10,2013
105,7266,Potato White,2013-10-28,Kg,45.0,47.0,46.0,28,10,2013
106,7339,Potato White,2013-10-29,Kg,40.0,45.0,42.5,29,10,2013
107,7413,Potato White,2013-10-30,Kg,38.0,40.0,39.0,30,10,2013
108,7487,Potato White,2013-10-31,Kg,38.0,40.0,39.0,31,10,2013
109,7559,Potato White,2013-11-01,Kg,32.0,36.0,34.0,1,11,2013
110,7632,Potato White,2013-11-03,Kg,38.0,40.0,39.0,3,11,2013
111,7704,Potato White,2013-11-04,Kg,38.0,42.0,40.0,4,11,2013
112,7778,Potato White,2013-11-05,Kg,38.0,40.0,39.0,5,11,2013
113,7833,Potato White,2013-11-06,Kg,38.0,40.0,39.0,6,11,2013
114,7880,Potato White,2013-11-07,Kg,38.0,40.0,39.0,7,11,2013
115,7945,Potato White,2013-11-10,Kg,32.0,35.0,33.5,10,11,2013
116,8011,Potato White,2013-11-11,Kg,30.0,33.0,31.5,11,11,2013
117,8072,Potato White,2013-11-12,Kg,32.0,34.0,33.0,12,11,2013
118,8135,Potato White,2013-11-13,Kg,32.0,35.0,33.5,13,11,2013
119,8199,Potato White,2013-11-14,Kg,40.0,42.0,41.0,14,11,2013
120,8262,Potato White,2013-11-15,Kg,39.0,40.0,39.5,15,11,2013
121,8327,Potato White,2013-11-16,Kg,39.0,40.0,39.5,16,11,2013
