,index,Commodity,Date,Unit,Minimum,Maximum,Price,Day,Month,Year
0,0,Tomato Big(Nepali),2013-06-16,Kg,35.0,40.0,37.5,16,6,2013
1,74,Tomato Big(Nepali),2013-06-17,Kg,25.0,30.0,27.5,17,6,2013
2,147,Tomato Big(Nepali),2013-06-18,Kg,25.0,30.0,27.5,18,6,2013
3,220,Tomato Big(Nepali),2013-06-19,Kg,25.0,30.0,27.5,19,6,2013
4,293,Tomato Big(Nepali),2013-06-20,Kg,25.0,30.0,27.5,20,6,2013
5,367,Tomato Big(Nepali),2013-06-21,Kg,25.0,30.0,27.5,21,6,2013
6,441,Tomato Big(Nepali),2013-06-25,Kg,30.0,35.0,32.5,25,6,2013
7,514,Tomato Big(Nepali),2013-06-26,Kg,30.0,35.0,32.5,26,6,2013
8,587,Tomato Big(Nepali),2013-06-27,Kg,30.0,35.0,32.5,27,6,2013
9,659,Tomato Big(Nepali),2013-06-28,Kg,30.0,35.0,32.5,28,6,2013
10,729,Tomato Big(Nepali),2013-06-30,Kg,25.0,30.0,27.5,30,6,2013
11,799,Tomato Big(Nepali),2013-07-01,Kg,25.0,30.0,27.5,1,7,2013
12,869,Tomato Big(Nepali),2013-07-02,Kg,30.0,35.0,32.5,2,7,2013
13,938,Tomato Big(Nepali),2013-07-03,Kg,30.0,35.0,32.5,3,7,2013
14,1008,Tomato Big(Nepali),2013-07-04,Kg,30.0,35.0,32.5,4,7,2013
15,1078,Tomato Big(Nepali),2013-07-05,Kg,30.0,35.0,32.5,5,7,2013
16,1147,Tomato Big(Nepali),2013-07-09,Kg,55.0,60.0,57.5,9,7,2013
17,1217,Tomato Big(Nepali),2013-07-10,Kg,55.0,60.0,57.5,10,7,2013
18,1287,Tomato Big(Nepali),2013-07-11,Kg,55.0,60.0,57.5,11,7,2013
19,1356,Tomato Big(Nepali),2013-07-12,Kg,70.0,80.0,75.0,12,7,2013
20,1426,Tomato Big(Nepali),2013-07-14,Kg,75.0,80.0,77.5,14,7,2013
21,1496,Tomato Big(Nepali),2013-07-15,Kg,75.0,80.0,77.5,15,7,2013
22,1564,Tomato Big(Nepali),2013-07-16,Kg,80.0,90.0,85.0,16,7,2013
23,1633,Tomato Big(Nepali),2013-07-17,Kg,80.0,90.0,85.0,17,7,2013
24,1704,Tomato Big(Nepali),2013-07-18,Kg,65.0,70.0,67.5,18,7,2013
25,1775,Tomato Big(Nepali),2013-07-19,Kg,55.0,60.0,57.5,19,7,2013
26,1845,Tomato Big(Nepali),2013-07-21,Kg,50.0,55.0,52.5,21,7,2013
27,1916,Tomato Big(Nepali),2013-07-22,Kg,55.0,60.0,57.5,22,7,2013
28,1987,Tomato Big(Nepali),2013-07-23,Kg,55.0,60.0,57.5,23,7,2013
29,2056,Tomato Big(Nepali),2013-07-24,Kg,50.0,55.0,52.5,24,7,2013
30,2125,Tomato Big(Nepali),2013-07-25,Kg,50.0,55.0,52.5,25,7,2013
31,2195,Tomato Big(Nepali),2013-07-26,Kg,45.0,50.0,47.5,26,7,2013
32,2263,Tomato Big(Nepali),2013-07-28,Kg,40.0,50.0,45.0,28,7,2013
33,2333,Tomato Big(Nepali),2013-07-29,Kg,50.0,55.0,52.5,29,7,2013
34,2401,Tomato Big(Nepali),2013-07-30,Kg,50.0,55.0,52.5,30,7,2013
35,2468,Tomato Big(Nepali),2013-07-31,Kg,40.0,45.0,42.5,31,7,2013
36,2534,Tomato Big(Nepali),2013-08-01,Kg,45.0,55.0,50.0,1,8,2013
37,2601,Tomato Big(Nepali),2013-08-02,Kg,45.0,50.0,47.5,2,8,2013
38,2669,Tomato Big(Nepali),2013-08-04,Kg,40.0,45.0,42.5,4,8,2013
39,2736,Tomato Big(Nepali),2013-08-05,Kg,35.0,40.0,37.5,5,8,2013
40,2802,Tomato Big(Nepali),2013-08-06,Kg,35.0,40.0,37.5,6,8,2013
41,2867,Tomato Big(Nepali),2013-08-07,Kg,34.0,36.0,35.0,7,8,2013
42,2933,Tomato Big(Nepali),2013-08-08,Kg,30.0,35.0,32.5,8,8,2013
43,3001,Tomato Big(Nepali),2013-08-12,Kg,18.0,20.0,19.0,12,8,2013
44,3041,Tomato Big(Nepali),2013-08-13,Kg,30.0,35.0,32.5,13,8,2013
45,3109,Tomato Big(Nepali),2013-08-14,Kg,35.0,40.0,37.5,14,8,2013
46,3179,Tomato Big(Nepali),2013-08-15,Kg,35.0,40.0,37.5,15,8,2013
47,3247,Tomato Big(Nepali),2013-08-16,Kg,55.0,60.0,57.5,16,8,2013
48,3318,Tomato Big(Nepali),2013-08-18,Kg,55.0,60.0,57.5,18,8,2013
49,3389,Tomato Big(Nepali),2013-08-19,Kg,55.0,60.0,57.5,19,8,2013
50,3459,Tomato Big(Nepali),2013-08-20,Kg,55.0,60.0,57.5,20,8,2013
51,3530,Tomato Big(Nepali),2013-08-23,Kg,55.0,60.0,57.5,23,8,2013
52,3601,Tomato Big(Nepali),2013-08-25,Kg,45.0,50.0,47.5,25,8,2013
53,3672,Tomato Big(Nepali),2013-08-26,Kg,50.0,55.0,52.5,26,8,2013
54,3743,Tomato Big(Nepali),2013-08-27,Kg,40.0,45.0,42.5,27,8,2013
55,3813,Tomato Big(Nepali),2013-08-29,Kg,35.0,40.0,37.5,29,8,2013
56,3882,Tomato Big(Nepali),2013-08-30,Kg,35.0,40.0,37.5,30,8,2013
57,3953,Tomato Big(Nepali),2013-09-01,Kg,35.0,40.0,37.5,1,9,2013
58,4021,Tomato Big(Nepali),2013-09-02,Kg,38.0,42.0,40.0,2,9,2013
59,4090,Tomato Big(Nepali),2013-09-03,Kg,40.0,45.0,42.5,3,9,2013
60,4157,Tomato Big(Nepali),2013-09-04,Kg,40.0,45.0,42.5,4,9,2013
61,4227,Tomato Big(Nepali),2013-09-05,Kg,40.0,45.0,42.5,5,9,2013
62,4297,Tomato Big(Nepali),2013-09-06,Kg,45.0,50.0,47.5,6,9,2013
63,4367,Tomato Big(Nepali),2013-09-08,Kg,42.0,46.0,44.0,8,9,2013
64,4438,Tomato Big(Nepali),2013-09-09,Kg,45.0,50.0,47.5,9,9,2013
65,4509,Tomato Big(Nepali),2013-09-10,Kg,45.0,50.0,47.5,10,9,2013
66,4580,Tomato Big(Nepali),2013-09-11,Kg,40.0,45.0,42.5,11,9,2013
67,4651,Tomato Big(Nepali),2013-09-12,Kg,40.0,45.0,42.5,12,9,2013
68,4721,Tomato Big(Nepali),2013-09-13,Kg,32.0,36.0,34.0,13,9,2013
69,4790,Tomato Big(Nepali),2013-09-15,Kg,35.0,40.0,37.5,15,9,2013
70,4859,Tomato Big(Nepali),2013-09-16,Kg,35.0,40.0,37.5,16,9,2013
71,4929,Tomato Big(Nepali),2013-09-17,Kg,35.0,40.0,37.5,17,9,2013
72,4999,Tomato Big(Nepali),2013-09-19,Kg,40.0,45.0,42.5,19,9,2013
73,5069,Tomato Big(Nepali),2013-09-20,Kg,38.0,40.0,39.0,20,9,2013
74,5138,Tomato Big(Nepali),2013-09-22,Kg,40.0,45.0,42.5,22,9,2013
75,5209,Tomato Big(Nepali),2013-09-23,Kg,38.0,40.0,39.0,23,9,2013
76,5280,Tomato Big(Nepali),2013-09-24,Kg,40.0,45.0,42.5,24,9,2013
77,5352,Tomato Big(Nepali),2013-09-25,Kg,32.0,36.0,34.0,25,9,2013
78,5423,Tomato Big(Nepali),2013-09-26,Kg,35.0,40.0,37.5,26,9,2013
79,5494,Tomato Big(Nepali),2013-09-27,Kg,35.0,40.0,37.5,27,9,2013
80,5566,Tomato Big(Nepali),2013-09-29,Kg,30.0,35.0,32.5,29,9,2013
81,5639,Tomato Big(Nepali),2013-09-30,Kg,35.0,40.0,37.5,30,9,2013
82,5710,Tomato Big(Nepali),2013-10-01,Kg,35.0,40.0,37.5,1,10,2013
83,5782,Tomato Big(Nepali),2013-10-02,Kg,40.0,45.0,42.5,2,10,2013
84,5856,Tomato Big(Nepali),2013-10-03,Kg,40.0,45.0,42.5,3,10,2013
85,5929,Tomato Big(Nepali),2013-10-04,Kg,40.0,45.0,42.5,4,10,2013
86,6003,Tomato Big(Nepali),2013-10-06,Kg,50.0,55.0,52.5,6,10,2013
87,6075,Tomato Big(Nepali),2013-10-07,Kg,75.0,80.0,77.5,7,10,2013
88,6150,Tomato Big(Nepali),2013-10-08,Kg,55.0,60.0,57.5,8,10,2013
89,6225,Tomato Big(Nepali),2013-10-09,Kg,60.0,65.0,62.5,9,10,2013
90,6300,Tomato Big(Nepali),2013-10-10,Kg,55.0,60.0,57.5,10,10,2013
91,6375,Tomato Big(Nepali),2013-10-11,Kg,55.0,60.0,57.5,11,10,2013
92,6450,Tomato Big(Nepali),2013-10-12,Kg,50.0,55.0,52.5,12,10,2013
93,6520,Tomato Big(Nepali),2013-10-13,Kg,50.0,55.0,52.5,13,10,2013
94,6559,Tomato Big(Nepali),2013-10-14,Kg,45.0,50.0,47.5,14,10,2013
95,6595,Tomato Big(Nepali),2013-10-15,Kg,40.0,45.0,42.5,15,10,2013
96,6631,Tomato Big(Nepali),2013-10-16,Kg,40.0,45.0,42.5,16,10,2013
97,6696,Tomato Big(Nepali),2013-10-17,Kg,35.0,40.0,37.5,17,10,2013
98,6764,Tomato Big(Nepali),2013-10-20,Kg,35.0,40.0,37.5,20,10,2013
99,6837,Tomato Big(Nepali),2013-10-21,Kg,35.0,40.0,37.5,21,10,2013
100,6909,Tomato Big(Nepali),2013-10-22,Kg,40.0,45.0,42.5,22,10,2013
101,6980,Tomato Big(Nepali),2013-10-23,Kg,40.0,45.0,42.5,23,10,2013
102,7049,Tomato Big(Nepali),2013-10-24,Kg,50.0,55.0,52.5,24,10,2013
103,7119,Tomato Big(Nepali),2013-10-25,Kg,55.0,60.0,57.5,25,10,2013
104,7191,Tomato Big(Nepali),2013-10-27,Kg,60.0,65.0,62.5,27,10,2013
105,7263,Tomato Big(Nepali),2013-10-28,Kg,50.0,60.0,55.0,28,10,2013
106,7336,Tomato Big(Nepali),2013-10-29,Kg,50.0,60.0,55.0,29,10,2013
107,7410,Tomato Big(Nepali),2013-10-30,Kg,55.0,60.0,57.5,30,10,2013
108,7484,Tomato Big(Nepali),2013-10-31,Kg,55.0,60.0,57.5,31,10,2013
109,7556,Tomato Big(Nepali),2013-11-01,Kg,55.0,60.0,57.5,1,11,2013
110,7630,Tomato Big(Nepali),2013-11-03,Kg,55.0,60.0,57.5,3,11,2013
111,7701,Tomato Big(Nepali),2013-11-04,Kg,55.0,60.0,57.5,4,11,2013
112,7775,Tomato Big(Nepali),2013-11-05,Kg,60.0,70.0,65.0,5,11,2013
113,7830,Tomato Big(Nepali),2013-11-06,Kg,90.0,100.0,95.0,6,11,2013
114,7877,Tomato Big(Nepali),2013-11-07,Kg,90.0,100.0,95.0,7,11,2013
115,7942,Tomato Big(Nepali),2013-11-10,Kg,80.0,90.0,85.0,10,11,2013
116,8008,Tomato Big(Nepali),2013-11-11,Kg,80.0,90.0,85.0,11,11,2013
117,8069,Tomato Big(Nepali),2013-11-12,Kg,85.0,90.0,87.5,12,11,2013
118,8132,Tomato Big(Nepali),2013-11-13,Kg,85.0,90.0,87.5,13,11,2013
119,8196,Tomato Big(Nepali),2013-11-14,Kg,95.0,100.0,97.5,14,11,2013
120,8259,Tomato Big(Nepali),2013-11-15,Kg,90.0,100.0,95.0,15,11,2013
121,8324,Tomato Big(Nepali),2013-11-16,Kg,85.0,100.0,92.5,16,11,2013
122,8390,Tomato Big(Nepali),2013-11-17,Kg,90.0,100.0,95.0,17,11,2013
123,8454,Tomato Big(Nepali),2013-11-18,Kg,85.0,100.0,92.5,18,11,2013
124,8519,Tomato Big(Nepali),2013-11-20,Kg,90.0,100.0,95.0,20,11,2013
125,8581,Tomato Big(Nepali),2013-11-21,Kg,80.0,90.0,85.0,21,11,2013
126,8649,Tomato Big(Nepali),2013-11-22,Kg,90.0,100.0,95.0,22,11,2013
127,8720,Tomato Big(Nepali),2013-11-24,Kg,80.0,90.0,85.0,24,11,2013
128,8790,Tomato Big(Nepali),2013-11-25,Kg,80.0,90.0,85.0,25,11,2013
129,8859,Tomato Big(Nepali),2013-11-26,Kg,80.0,90.0,85.0,26,11,2013
130,8928,Tomato Big(Nepali),2013-11-27,Kg,75.0,80.0,77.5,27,11,2013
131,8997,Tomato Big(Nepali),2013-11-28,Kg,70.0,80.0,75.0,28,11,2013
132,9066,Tomato Big(Nepali),2013-11-29,Kg,80.0,90.0,85.0,29,11,2013
133,9138,Tomato Big(Nepali),2013-12-01,Kg,75.0,80.0,77.5,1,12,2013
134,9210,Tomato Big(Nepali),2013-12-02,Kg,70.0,80.0,75.0,2,12,2013
135,9280,Tomato Big(Nepali),2013-12-03,Kg,60.0,70.0,65.0,3,12,2013
136,9353,Tomato Big(Nepali),2013-12-04,Kg,55.0,60.0,57.5,4,12,2013
137,9425,Tomato Big(Nepali),2013-12-05,Kg,40.0,50.0,45.0,5,12,2013
138,9497,Tomato Big(Nepali),2013-12-06,Kg,40.0,50.0,45.0,6,12,2013
139,9569,Tomato Big(Nepali),2013-12-08,Kg,50.0,60.0,55.0,8,12,2013
140,9640,Tomato Big(Nepali),2013-12-09,Kg,45.0,50.0,47.5,9,12,2013
141,9713,Tomato Big(Nepali),2013-12-10,Kg,50.0,60.0,55.0,10,12,2013
142,9786,Tomato Big(Nepali),2013-12-11,Kg,40.0,50.0,45.0,11,12,2013
143,9856,Tomato Big(Nepali),2013-12-12,Kg,45.0,50.0,47.5,12,12,2013
144,9927,Tomato Big(Nepali),2013-12-13,Kg,45.0,50.0,47.5,13,12,2013
145,9998,Tomato Big(Nepali),2013-12-15,Kg,40.0,50.0,45.0,15,12,2013
146,10070,Tomato Big(Nepali),2013-12-16,Kg,50.0,55.0,52.5,16,12,2013
147,10142,Tomato Big(Nepali),2013-12-18,Kg,50.0,55.0,52.5,18,12,2013
148,10217,Tomato Big(Nepali),2013-12-19,Kg,40.0,45.0,42.5,19,12,2013
149,10291,Tomato Big(Nepali),2013-12-20,Kg,45.0,50.0,47.5,20,12,2013
150,10366,Tomato Big(Nepali),2013-12-22,Kg,45.0,50.0,47.5,22,12,2013
151,10439,Tomato Big(Nepali),2013-12-23,Kg,45.0,50.0,47.5,23,12,2013
152,10516,Tomato Big(Nepali),2013-12-24,Kg,40.0,45.0,42.5,24,12,2013
153,10593,Tomato Big(Nepali),2013-12-26,Kg,45.0,50.0,47.5,26,12,2013
154,10668,Tomato Big(Nepali),2013-12-27,Kg,45.0,50.0,47.5,27,12,2013
155,10742,Tomato Big(Nepali),2013-12-29,Kg,45.0,50.0,47.5,29,12,2013
156,10819,Tomato Big(Nepali),2013-12-31,Kg,45.0,50.0,47.5,31,12,2013
157,10896,Tomato Big(Nepali),2014-01-01,Kg,40.0,45.0,42.5,1,1,2014
158,10974,Tomato Big(Nepali),2014-01-02,Kg,40.0,45.0,42.5,2,1,2014
159,11052,Tomato Big(Nepali),2014-01-03,Kg,40.0,45.0,42.5,3,1,2014
160,11129,Tomato Big(Nepali),2014-01-05,Kg,35.0,40.0,37.5,5,1,2014
161,11205,Tomato Big(Nepali),2014-01-06,Kg,35.0,40.0,37.5,6,1,2014
162,11282,Tomato Big(Nepali),2014-01-07,Kg,35.0,40.0,37.5,7,1,2014
163,11360,Tomato Big(Nepali),2014-01-08,Kg,30.0,35.0,32.5,8,1,2014
164,11437,Tomato Big(Nepali),2014-01-09,Kg,30.0,35.0,32.5,9,1,2014
165,11515,Tomato Big(Nepali),2014-01-10,Kg,30.0,35.0,32.5,10,1,2014
166,11592,Tomato Big(Nepali),2014-01-12,Kg,30.0,35.0,32.5,12,1,2014
167,11669,Tomato Big(Nepali),2014-01-13,Kg,40.0,45.0,42.5,13,1,2014
168,11746,Tomato Big(Nepali),2014-01-14,Kg,40.0,45.0,42.5,14,1,2014
169,11823,Tomato Big(Nepali),2014-01-16,Kg,40.0,45.0,42.5,16,1,2014
170,11899,Tomato Big(Nepali),2014-01-17,Kg,40.0,45.0,42.5,17,1,2014
171,11975,Tomato Big(Nepali),2014-01-19,Kg,35.0,40.0,37.5,19,1,2014
172,12051,Tomato Big(Nepali),2014-01-20,Kg,35.0,40.0,37.5,20,1,2014
173,12128,Tomato Big(Nepali),2014-01-21,Kg,30.0,35.0,32.5,21,1,2014
174,12205,Tomato Big(Nepali),2014-01-22,Kg,30.0,35.0,32.5,22,1,2014
175,12280,Tomato Big(Nepali),2014-01-23,Kg,30.0,35.0,32.5,23,1,2014
176,12355,Tomato Big(Nepali),2014-01-24,Kg,25.0,30.0,27.5,24,1,2014
177,12430,Tomato Big(Nepali),2014-01-26,Kg,30.0,35.0,32.5,26,1,2014
178,12503,Tomato Big(Nepali),2014-01-27,Kg,30.0,35.0,32.5,27,1,2014
179,12577,Tomato Big(Nepali),2014-01-28,Kg,25.0,30.0,27.5,28,1,2014
180,12651,Tomato Big(Nepali),2014-01-29,Kg,25.0,30.0,27.5,29,1,2014
181,12726,Tomato Big(Nepali),2014-02-02,Kg,30.0,35.0,32.5,2,2,2014
182,12802,Tomato Big(Nepali),2014-02-03,Kg,30.0,35.0,32.5,3,2,2014
183,12877,Tomato Big(Nepali),2014-02-04,Kg,30.0,35.0,32.5,4,2,2014
184,12952,Tomato Big(Nepali),2014-02-05,Kg,35.0,40.0,37.5,5,2,2014
